Display Name,Card Code
[VTD04] 雀ヶ森レン,VTD04
[VTD03] 蒼龍レオン,VTD03
[VTD02] 櫂トシキ,VTD02
[VTD01] 先導アイチ,VTD01
[GTD15] 再誕の救世竜,GTD15
[GTHD02] 刀剣乱舞-花丸- デッキセット 第2弾,GTHD02
[GTHD01] 刀剣乱舞-花丸- デッキセット 第1弾,GTHD01
[GTD14] 歌姫の初舞台,GTD14
[GTD13] 邪眼の支配者,GTD13
[GLD03] The Blaster “Aichi Sendou”,GLD03
[GTD12] 繚乱の花乙女,GTD12
[GTD11] 天命の聖騎士,GTD11
[GTD10] 竜魔道の儀式,GTD10
[GTTD01] 刀剣乱舞-ONLINE-,GTTD01
[GTD09] 真生の十二支刻獣,GTD09
[GDG01] DAIGOスペシャルセットG,GDG01
[FTD01] 太陽の騎士,FTD01
[GLD02] The Overlord blaze “Toshiki Kai”,GLD02
[GTD08] 冥刻の吸血姫,GTD08
[GTD07] 弧月の奇術師,GTD07
[GTD06] 鳴導の時幻竜,GTD06
[GTD05] 宿星の救世竜,GTD05
[GLD01] The Dark “Ren Suzugamori”,GLD01
[GTD04] 海神の蒼騎兵,GTD04
[GTD03] 純真の花乙女,GTD03
[GTD02] 明星の聖剣士,GTD02
[GTD01] 覚醒の時空竜,GTD01
[MTD01] 凶星の根絶者,MTD01
[TD17] 決意の呪縛竜,TD17
[TD16] 聖裁の青き炎,TD16
[TD15] 友情の喧嘩屋,TD15
[TD14] 希望の探索者,TD14
[TD13] 神器の伝承者,TD13
[TD12] 超次元の勇者,TD12
[TD11] 侵略の星輝兵,TD11
[TD10] 奈落の撃退者,TD10
[DG01] DAIGOスペシャル,DG01
[TD09] 帝国の抹消者,TD09
[TD08] 聖域の解放者,TD08
[TD07] 海皇の末裔,TD07
[TD06] 雷竜の鳴動,TD06
[TD05] 銀狼の爪撃,TD05
[TD04] 桜花の姫巫女,TD04
[TD03] 黄金の機兵,TD03
[TD02] 帝国の暴竜,TD02
[TD01] 聖域の光剣士,TD01
[HS08] はじめようセット 超次元の勇者,HS08
[HS07] はじめようセット 侵略の星輝兵,HS07
[HS06] はじめようセット 奈落の撃退者,HS06
[HS05] はじめようセット 聖域の解放者,HS05
[DZTB03] フューチャーカード バディファイト ディザスターフォース,DZTB03
[DZSS16] 伝説の先導者達,DZSS16
