Display Name,Card Code
[lovelivenj2.0] ラブライブ！虹ヶ咲学園スクールアイドル同好会,lovelivenj2.0
[lovelivepblnj] プレミアムブースター ラブライブ!スクフェスシリーズ感謝祭 2022【LNJ】,lovelivepblnj
[lovelivenjsifpblnj] プレミアムブースター ラブライブ！スクフェスシリーズ10th Anniversary【LNJ】,lovelivenjsifpblnj
[lovelivesp] ラブライブ！スーパースター!!,lovelivesp
[lovelivepblsp] プレミアムブースター ラブライブ!スクフェスシリーズ感謝祭 2022【LSP】,lovelivepblsp
[lhs] ラブライブ！蓮ノ空女学院スクールアイドルクラブ feat. Link！Like！ラブライブ！,lhs
[lsf] ラブライブ！スクールアイドルフェスティバル2,lsf
[genei] 幻影ヲ駆ケル太陽,genei
[nisekoi] ニセコイ,nisekoi
[nisekoiext] ニセコイ: Extra,nisekoiext
[gf] ガールフレンド（仮）,gf
[gf2.0] ガールフレンド（仮） Vol.2,gf2.0
[tld2nd] To LOVEる -とらぶる- ダークネス 2nd,tld2nd
[tld2nd2.0] To LOVEる -とらぶる- ダークネス 2nd Vol.2,tld2nd2.0
[charlotte1.0] Charlotte,charlotte1.0
[imc] アイドルマスター シンデレラガールズ,imc
[imc2nd] アイドルマスター シンデレラガールズ 2nd SEASON,imc2nd
[imc3.0] アイドルマスター シンデレラガールズ Next Twinkle!,imc3.0
[imcpb] プレミアムブースター アイドルマスター シンデレラガールズ,imcpb
[gochiusa] ご注文はうさぎですか？？,gochiusa
[gochiusaext] ご注文はうさぎですか？？ Extra,gochiusaext
[gochiusadms] ご注文はうさぎですか?? ～Dear My Sister～,gochiusadms
[gochiusabloom] ご注文はうさぎですか？ BLOOM,gochiusabloom
[gochiusare] ご注文はうさぎですか？ Re:Edit,gochiusare
[gochiusapb] プレミアムブースター TVアニメ「ご注文はうさぎですか？」10th Anniversary,gochiusapb
[bd] BanG Dream!,bd
[bd4.0] BanG Dream!Vol.2,bd4.0
[bd2.0] バンドリ！ ガールズバンドパーティ！,bd2.0
[bd3.0] バンドリ！ ガールズバンドパーティ! Vol.2,bd3.0
[bd2.0td] バンドリ！ ガールズバンドパーティ！トライアルデッキ+,bd2.0td
