Display Name,Card Code
[dmr05] [DMR-05] エピソード2 ゴールデン・エイジ,dmr05
[dmr04] [DMR-04] エピソード1 ライジング・ホープ,dmr04
[dmr03] [DMR-03] エピソード1 ガイアール・ビクトリー,dmr03
[dmr02] [DMR-02] エピソード1 ダークサイド,dmr02
[dmr01] [DMR-01] エピソード1 ファースト・コンタクト,dmr01
[dm39] [DM-39] 覚醒編 第4弾 覚醒爆発,dm39
[dm38] [DM-38] 覚醒編 第3弾 超竜VS悪魔,dm38
[dm37] [DM-37] 覚醒編 第2弾 暗黒の野望,dm37
[dm36] [DM-36] 覚醒編 第1弾,dm36
[dm35] [DM-35] 神化編 第4弾 超極竜VS六体神,dm35
[dm34] [DM-34] 神化編 第3弾 烈火の刃,dm34
[dm33] [DM-33] 神化編 第2弾 太陽の龍王,dm33
[dm32] [DM-32] 神化編 第1弾,dm32
[dm31] [DM-31] 戦国編 第4弾 戦国武闘会,dm31
[dm30] [DM-30] 戦国編 第3弾 戦極魂,dm30
[dm29] [DM-29] 戦国編 第2弾 戦国英雄伝,dm29
[dm28] [DM-28] 戦国編 第1弾,dm28
[dm27] [DM-27] 極神編 第4弾 完全極神,dm27
[dm26] [DM-26] 極神編 第3弾 超絶VS究極,dm26
[dm25] [DM-25] 極神編 第2弾 人造神の創造,dm25
[dm24] [DM-24] 極神編 第1弾,dm24
[dm23] [DM-23] 不死鳥編 第5弾 冥龍王帰還,dm23
[dm22] [DM-22] 不死鳥編 第4弾 超神龍雷撃,dm22
[dm21] [DM-21] 不死鳥編 第3弾 封魔王の系譜,dm21
[dm20] [DM-20] 不死鳥編 第2弾 魔闘竜×機兵団,dm20
[dm19] [DM-19] 不死鳥編 第1弾,dm19
[dm18] [DM-18] ベスト・チャレンジャー,dm18
[dm17] [DM-17] 転生編 第4弾 終末魔導大戦,dm17
[dm16] [DM-16] 転生編 第3弾 魔導黙示録,dm16
[dm15] [DM-15] 転生編 第2弾 神滅奥義継承,dm15
[dm14] [DM-14] 転生編 第1弾,dm14
[dm13] [DM-13] 聖拳編 第4弾 龍炎鳳神誕,dm13
[dm12] [DM-12] 聖拳編 第3弾 魔封魂の融合,dm12
[dm11] [DM-11] 聖拳編 第2弾 無限軍団の飛翔,dm11
[dm10] [DM-10] 聖拳編 第1弾,dm10
[dm09] [DM-09] 闘魂編 覇道帝国の絆,dm09
