groupId,groupName,groupAbbreviation,groupIsSupplemental,groupPublishedOn,groupModifiedOn,productId,productName,cleanName,imageUrl,categoryId,productUrl,productModifiedOn,imageCount,isPresale,releasedOn,subTypeName,lowPrice,midPrice,highPrice,marketPrice,directLowPrice
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683713,Cobalion ex - 062/083,Cobalion ex 062 083,https://tcgplayer-cdn.tcgplayer.com/product/683713_200w.jpg,85,https://www.tcgplayer.com/product/683713/pokemon-japan-m4-ninja-spinner-cobalion-ex-062-083,2026-03-13T12:52:34.34,1,False,,Holofoil,0.04,0.31,3.36,0.26,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683714,Mega Dragalge ex - 063/083,Mega Dragalge ex 063 083,https://tcgplayer-cdn.tcgplayer.com/product/683714_200w.jpg,85,https://www.tcgplayer.com/product/683714/pokemon-japan-m4-ninja-spinner-mega-dragalge-ex-063-083,2026-03-13T12:52:34.433,1,False,,Holofoil,0.2,0.5,4.99,0.38,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683715,Goomy,Goomy,https://tcgplayer-cdn.tcgplayer.com/product/683715_200w.jpg,85,https://www.tcgplayer.com/product/683715/pokemon-japan-m4-ninja-spinner-goomy,2026-03-13T12:52:34.53,1,False,,Normal,0.01,0.22,2.2,0.18,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683716,Sliggoo - 065/083,Sliggoo 065 083,https://tcgplayer-cdn.tcgplayer.com/product/683716_200w.jpg,85,https://www.tcgplayer.com/product/683716/pokemon-japan-m4-ninja-spinner-sliggoo-065-083,2026-03-13T12:52:34.637,1,False,,Normal,0.01,0.25,2.9,0.18,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683717,Goodra,Goodra,https://tcgplayer-cdn.tcgplayer.com/product/683717_200w.jpg,85,https://www.tcgplayer.com/product/683717/pokemon-japan-m4-ninja-spinner-goodra,2026-03-13T12:52:34.727,1,False,,Normal,0.03,0.25,2.6,0.2,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683718,Tauros - 067/083,Tauros 067 083,https://tcgplayer-cdn.tcgplayer.com/product/683718_200w.jpg,85,https://www.tcgplayer.com/product/683718/pokemon-japan-m4-ninja-spinner-tauros-067-083,2026-03-13T12:52:34.823,1,False,,Normal,0.1,0.18,1.98,0.16,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683719,Patrat,Patrat,https://tcgplayer-cdn.tcgplayer.com/product/683719_200w.jpg,85,https://www.tcgplayer.com/product/683719/pokemon-japan-m4-ninja-spinner-patrat,2026-03-13T12:52:34.92,1,False,,Normal,0.01,0.25,2.9,0.2,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683720,Watchog - 069/083,Watchog 069 083,https://tcgplayer-cdn.tcgplayer.com/product/683720_200w.jpg,85,https://www.tcgplayer.com/product/683720/pokemon-japan-m4-ninja-spinner-watchog-069-083,2026-03-13T12:52:35.027,1,False,,Normal,0.03,0.19,2.0,0.16,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683721,Minccino,Minccino,https://tcgplayer-cdn.tcgplayer.com/product/683721_200w.jpg,85,https://www.tcgplayer.com/product/683721/pokemon-japan-m4-ninja-spinner-minccino,2026-03-13T12:52:35.137,1,False,,Normal,0.02,0.21,2.1,0.21,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683722,Cinccino ex - 071/083,Cinccino ex 071 083,https://tcgplayer-cdn.tcgplayer.com/product/683722_200w.jpg,85,https://www.tcgplayer.com/product/683722/pokemon-japan-m4-ninja-spinner-cinccino-ex-071-083,2026-03-13T12:52:35.237,1,False,,Holofoil,0.19,0.57,3.5,0.39,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683723,Special Red Card - 072/083,Special Red Card 072 083,https://tcgplayer-cdn.tcgplayer.com/product/683723_200w.jpg,85,https://www.tcgplayer.com/product/683723/pokemon-japan-m4-ninja-spinner-special-red-card-072-083,2026-03-13T12:52:35.34,1,False,,Normal,0.1,0.36,3.8,0.31,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683724,Big Haul Net,Big Haul Net,https://tcgplayer-cdn.tcgplayer.com/product/683724_200w.jpg,85,https://www.tcgplayer.com/product/683724/pokemon-japan-m4-ninja-spinner-big-haul-net,2026-03-13T12:52:35.417,1,False,,Normal,0.09,0.35,2.73,0.33,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683725,Book of Transformation,Book of Transformation,https://tcgplayer-cdn.tcgplayer.com/product/683725_200w.jpg,85,https://www.tcgplayer.com/product/683725/pokemon-japan-m4-ninja-spinner-book-of-transformation,2026-03-13T12:52:35.48,1,False,,Normal,0.09,0.39,5.3,0.37,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683726,AZ's Tranquility - 075/083,AZs Tranquility 075 083,https://tcgplayer-cdn.tcgplayer.com/product/683726_200w.jpg,85,https://www.tcgplayer.com/product/683726/pokemon-japan-m4-ninja-spinner-azs-tranquility-075-083,2026-03-13T12:52:35.557,1,False,,Normal,0.1,0.21,2.73,0.18,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683727,Philippe - 076/083,Philippe 076 083,https://tcgplayer-cdn.tcgplayer.com/product/683727_200w.jpg,85,https://www.tcgplayer.com/product/683727/pokemon-japan-m4-ninja-spinner-philippe-076-083,2026-03-13T12:52:35.637,1,False,,Normal,0.01,0.4,4.3,0.35,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683728,Roxie's Performance - 077/083,Roxies Performance 077 083,https://tcgplayer-cdn.tcgplayer.com/product/683728_200w.jpg,85,https://www.tcgplayer.com/product/683728/pokemon-japan-m4-ninja-spinner-roxies-performance-077-083,2026-03-13T12:52:35.707,1,False,,Normal,0.02,0.31,3.5,0.24,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683729,Emma - 078/083,Emma 078 083,https://tcgplayer-cdn.tcgplayer.com/product/683729_200w.jpg,85,https://www.tcgplayer.com/product/683729/pokemon-japan-m4-ninja-spinner-emma-078-083,2026-03-13T12:52:35.787,1,False,,Normal,0.01,0.29,2.9,0.27,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683730,Ange Floette,Ange Floette,https://tcgplayer-cdn.tcgplayer.com/product/683730_200w.jpg,85,https://www.tcgplayer.com/product/683730/pokemon-japan-m4-ninja-spinner-ange-floette,2026-03-13T12:52:35.85,1,False,,Normal,0.1,0.25,2.9,0.2,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683731,Prism Tower - 080/083,Prism Tower 080 083,https://tcgplayer-cdn.tcgplayer.com/product/683731_200w.jpg,85,https://www.tcgplayer.com/product/683731/pokemon-japan-m4-ninja-spinner-prism-tower-080-083,2026-03-13T12:52:35.92,1,False,,Normal,0.01,0.4,4.2,0.39,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683732,Nitro R Energy,Nitro R Energy,https://tcgplayer-cdn.tcgplayer.com/product/683732_200w.jpg,85,https://www.tcgplayer.com/product/683732/pokemon-japan-m4-ninja-spinner-nitro-r-energy,2026-03-13T12:52:36,1,False,,Holofoil,0.02,0.56,3.0,0.54,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683733,Bubble W Energy,Bubble W Energy,https://tcgplayer-cdn.tcgplayer.com/product/683733_200w.jpg,85,https://www.tcgplayer.com/product/683733/pokemon-japan-m4-ninja-spinner-bubble-w-energy,2026-03-13T12:52:36.093,1,False,,Holofoil,0.01,0.71,6.0,0.59,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683734,Magnet M Energy,Magnet M Energy,https://tcgplayer-cdn.tcgplayer.com/product/683734_200w.jpg,85,https://www.tcgplayer.com/product/683734/pokemon-japan-m4-ninja-spinner-magnet-m-energy,2026-03-13T12:52:36.153,1,False,,Holofoil,0.01,0.59,3.69,0.43,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683735,Chespin - 084/083,Chespin 084 083,https://tcgplayer-cdn.tcgplayer.com/product/683735_200w.jpg,85,https://www.tcgplayer.com/product/683735/pokemon-japan-m4-ninja-spinner-chespin-084-083,2026-03-13T13:39:04.21,1,False,,Holofoil,2.99,4.84,20.0,3.9,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683736,Fennekin - 085/083,Fennekin 085 083,https://tcgplayer-cdn.tcgplayer.com/product/683736_200w.jpg,85,https://www.tcgplayer.com/product/683736/pokemon-japan-m4-ninja-spinner-fennekin-085-083,2026-03-13T13:39:04.29,1,False,,Holofoil,1.69,3.5,9.99,2.76,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683737,Froakie - 086/083,Froakie 086 083,https://tcgplayer-cdn.tcgplayer.com/product/683737_200w.jpg,85,https://www.tcgplayer.com/product/683737/pokemon-japan-m4-ninja-spinner-froakie-086-083,2026-03-13T13:39:04.377,1,False,,Holofoil,4.99,7.89,14.0,5.08,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683738,Frogadier - 087/083,Frogadier 087 083,https://tcgplayer-cdn.tcgplayer.com/product/683738_200w.jpg,85,https://www.tcgplayer.com/product/683738/pokemon-japan-m4-ninja-spinner-frogadier-087-083,2026-03-13T13:39:04.44,1,False,,Holofoil,3.0,6.35,23.2,4.14,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683739,Ampharos - 088/083,Ampharos 088 083,https://tcgplayer-cdn.tcgplayer.com/product/683739_200w.jpg,85,https://www.tcgplayer.com/product/683739/pokemon-japan-m4-ninja-spinner-ampharos-088-083,2026-03-13T13:39:04.503,1,False,,Holofoil,4.23,6.36,60.0,5.49,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683740,Xerneas - 089/083,Xerneas 089 083,https://tcgplayer-cdn.tcgplayer.com/product/683740_200w.jpg,85,https://www.tcgplayer.com/product/683740/pokemon-japan-m4-ninja-spinner-xerneas-089-083,2026-03-13T13:39:04.58,1,False,,Holofoil,5.25,7.98,21.98,6.65,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683741,Claydol - 090/083,Claydol 090 083,https://tcgplayer-cdn.tcgplayer.com/product/683741_200w.jpg,85,https://www.tcgplayer.com/product/683741/pokemon-japan-m4-ninja-spinner-claydol-090-083,2026-03-13T13:39:04.66,1,False,,Holofoil,1.39,2.77,8.33,2.43,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683742,Crobat - 091/083,Crobat 091 083,https://tcgplayer-cdn.tcgplayer.com/product/683742_200w.jpg,85,https://www.tcgplayer.com/product/683742/pokemon-japan-m4-ninja-spinner-crobat-091-083,2026-03-13T13:39:04.723,1,False,,Holofoil,2.25,3.44,12.87,2.7,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683743,Metang - 092/083,Metang 092 083,https://tcgplayer-cdn.tcgplayer.com/product/683743_200w.jpg,85,https://www.tcgplayer.com/product/683743/pokemon-japan-m4-ninja-spinner-metang-092-083,2026-03-13T13:39:04.783,1,False,,Holofoil,1.7,2.74,5.0,2.46,
24653,M4: Ninja Spinner,m4,False,2026-03-13T00:00:00,2026-03-13T14:27:03.19,683744,Sliggoo - 093/083,Sliggoo 093 083,https://tcgplayer-cdn.tcgplayer.com/product/683744_200w.jpg,85,https://www.tcgplayer.com/product/683744/pokemon-japan-m4-ninja-spinner-sliggoo-093-083,2026-03-13T13:39:04.87,1,False,,Holofoil,1.78,3.4,8.0,2.75,
