categoryId,name,modifiedOn,displayName,seoCategoryName,categoryDescription,categoryPageTitle,sealedLabel,nonSealedLabel,conditionGuideUrl,isScannable,popularity,isDirect
24,Final Fantasy TCG,2026-07-13T11:25:06.94,Final Fantasy TCG,Final Fantasy Trading Card Game,"Build your dream team of heroes, villains, and monsters from across every Final Fantasy universe! Shop thousands of sellers for the best prices on Final Fantasy TCG cards, booster boxes, starter sets, and more.","TCGplayer - Buy Final Fantasy TCG cards, booster boxes, starter sets, and more",Sealed Products,Single Cards,https://store.tcgplayer.com/,True,14646,False
25,UniVersus,2026-06-28T13:40:02.987,UniVersus,UniVersus,"Competitors from multiple universes face off one-on-one in the Universal Fighting System! Shop thousands of sellers for the best prices on UniVersus cards, booster boxes, deck boxes, and more.","TCGplayer - Buy UniVersus cards, booster boxes, deck boxes, and more",Sealed Products,Single Cards,https://store.tcgplayer.com/,True,2817,False
26,Star Wars Destiny,2026-07-01T19:56:37.7,Star Wars: Destiny,Star Wars: Destiny,"Gather a squad of iconic Star Wars characters and let the Force guide you to victory! Shop thousands of sellers for the best prices on Star Wars: Destiny cards, booster packs, and more.","TCGplayer - Buy Star Wars: Destiny cards, booster packs, and more",Sealed Products,Singles,https://store.tcgplayer.com/,True,13709,False
27,Dragon Ball Super CCG,2026-07-10T16:43:16.523,Dragon Ball Super: Masters,Dragon Ball Super Card Game: Masters,"Relive classic fights (and pick new ones) with characters from across Dragon Ball history! Buy Dragon Ball Super cards and singles, booster boxes, and more.","TCGplayer - Buy Dragon Ball Super TCG Cards, Singles, and Set",Sealed Products,Singles,https://store.tcgplayer.com/,True,9005,False
28,Dragoborne,2025-09-04T13:00:40.233,Dragoborne,Dragoborne,"Assail your opponent's forts and weild the power of the Dragolords! Shop thousands of sellers for the best prices on Dragoborne -Rise to Supremacy- cards, booster boxes, trial decks, and more.","TCGplayer - Buy Dragoborne -Rise to Supremacy- cards, booster boxes, and trial deck",Sealed Products,Singles,https://store.tcgplayer.com/,True,3373,False
29,Funko,2026-03-20T16:04:49.233,Funko,Funko,"Decorate your home and defend your workspace with your favorite characters from movies, comics, video games, and more. Shop thousands of sellers for the best prices on Funko Pop! vinyl figures.",TCGplayer - Buy Funko Pop! vinyl figures,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,588,False
30,MetaX TCG,2023-06-16T15:40:06.027,MetaX TCG,MetaX TCG,"The MetaX system powers dynamic crossover battles between characters from Justice League, Batman, Attack on Titan, and more! Shop thousands of sellers for the best prices on MetaX cards, starter boxes, booster boxes, and more.","TCGplayer - Buy MetaX cards, starter boxes, booster boxes, and more",Sealed Products,Singles,https://store.tcgplayer.com/,True,581,False
31,Card Sleeves,2026-07-24T15:17:33.747,Card Sleeves,Card Sleeves,"Ready to show off your deck? Remember to bring protection—card sleeves keep your trading cards pristine as you shuffle and play. Shop thousands of sellers for the best prices on card sleeves by Dragon Shield, Ultra PRO, and other brands.","TCGplayer - Buy card sleeves by Dragon Shield, Ultra PRO, and other brands",Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,2262,False
32,Deck Boxes,2026-07-24T17:43:44.07,Deck Boxes,Deck Boxes,"Building a deck? You’ll need somewhere to put it. Shop thousands of sellers for the best prices on TCG deck boxes so you can keep your cards safe, organized, and ready to go at a moment's notice.","TCGplayer - Buy TCG deck boxes so you can keep your cards safe, organized, and ready to go at a moment's notice.",Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,1206,False
33,Card Storage Tins,2020-07-10T16:04:38.24,Card Storage Tins,Card Storage Tins,"Tins keep your trading cards safe and organized in a durable, attractive container. Shop thousands of sellers for the best prices on card storage tins that look as good as the cards they protect.",TCGplayer - Buy card storage tins that look as good as the cards they protect,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,10,False
